GROUP,PACKAGE,CLASS,INSTRUCTION_MISSED,INSTRUCTION_COVERED,BRANCH_MISSED,BRANCH_COVERED,LINE_MISSED,LINE_COVERED,COMPLEXITY_MISSED,COMPLEXITY_COVERED,METHOD_MISSED,METHOD_COVERED
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Controller,ProductoController,107,0,0,0,25,0,7,0,7,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Controller,ClienteController,72,0,0,0,17,0,4,0,4,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,ProductoEntity.ProductoEntityBuilder,76,0,0,0,1,0,10,0,10,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,Auditoria,17,0,0,0,4,0,5,0,5,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,ProductoEntity,80,0,0,0,11,0,17,0,17,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,ClienteEntity.ClienteEntityBuilder,83,0,0,0,1,0,11,0,11,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,CuentaEntity,24,0,0,0,5,0,7,0,7,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Entity,ClienteEntity,90,0,0,0,12,0,19,0,19,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Mapper,ClienteMapper,41,0,0,0,11,0,2,0,2,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Mapper,ProductoMapper,18,0,0,0,10,0,2,0,2,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Dto,ProductoDto,45,0,0,0,8,0,13,0,13,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Dto,ClienteDto,77,0,0,0,9,0,16,0,16,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Dto,ClienteDto.ClienteDtoBuilder,74,0,0,0,1,0,10,0,10,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Dto,RequestCuentaClienteDto,17,0,0,0,4,0,5,0,5,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Dto,EditarEstadoCuentaDto,17,0,0,0,4,0,5,0,5,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Enum,EstadoCuenta,21,0,0,0,4,0,1,0,1,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Enum,TipoCuenta,15,0,0,0,3,0,1,0,1,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Enum,TipoDocumento,27,0,0,0,5,0,1,0,1,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind,PruebaTecnicaQuindApplication,8,0,0,0,3,0,2,0,2,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Service.Impl,ClienteServiceImpl,143,0,12,0,36,0,11,0,5,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Service.Impl,CuentaAhorroImpl,60,0,2,0,14,0,3,0,2,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Service.Impl,ProductoServiceImpl,231,0,20,0,52,0,20,0,10,0
PruebaTecnicaQuind,com.example.pruebatecnicaquind.Constans,MessageAplication,24,0,0,0,11,0,2,0,2,0
